Entity,Code,Year,Biofuels Production - TWh - Total
Argentina,ARG,1990,0.0
Argentina,ARG,1991,0.0
Argentina,ARG,1992,0.0
Argentina,ARG,1993,0.0
Argentina,ARG,1994,0.0
Argentina,ARG,1995,0.0
Argentina,ARG,1996,0.0
Argentina,ARG,1997,0.0
Argentina,ARG,1998,0.0
Argentina,ARG,1999,0.0
Argentina,ARG,2000,0.053206034
Argentina,ARG,2001,0.106121324
Argentina,ARG,2002,0.106121324
Argentina,ARG,2003,0.106121324
Argentina,ARG,2004,0.10641207
Argentina,ARG,2005,0.106121324
Argentina,ARG,2006,0.35267234
Argentina,ARG,2007,2007858.0
Argentina,ARG,2008,71122904.0
Argentina,ARG,2009,11965088.0
Argentina,ARG,2010,19893944.0
Argentina,ARG,2011,25844816.0
Argentina,ARG,2012,26502537.0
Argentina,ARG,2013,23838686.0
Argentina,ARG,2014,30584423.0
Argentina,ARG,2015,23461845.0
Argentina,ARG,2016,32768284.0
Argentina,ARG,2017,3623187.0
Argentina,ARG,2018,31703428.0
Argentina,ARG,2019,2855003.0
Argentina,ARG,2020,16743961.0
Argentina,ARG,2021,23779903.0
Brazil,BRA,1990,6500527.0
Brazil,BRA,1991,7290802.0
Brazil,BRA,1992,66798546.0
Brazil,BRA,1993,6479953.0
Brazil,BRA,1994,7116422.0
Brazil,BRA,1995,72528015.0
Brazil,BRA,1996,80751854.0
Brazil,BRA,1997,8875702.0
Brazil,BRA,1998,8104088.0
Brazil,BRA,1999,7477354.0
Brazil,BRA,2000,61795197.0
Brazil,BRA,2001,6634447.0
Brazil,BRA,2002,72809166.0
Brazil,BRA,2003,83917046.0
Brazil,BRA,2004,84634285.0
Brazil,BRA,2005,9256785.0
Brazil,BRA,2006,102801834.0
Brazil,BRA,2007,13291316.0
Brazil,BRA,2008,16603877.0
Brazil,BRA,2009,16349847.0
Brazil,BRA,2010,1813416.0
Brazil,BRA,2011,15590176.0
Brazil,BRA,2012,15961436.0
Brazil,BRA,2013,18537614.0
Brazil,BRA,2014,19519594.0
Brazil,BRA,2015,20942525.0
Brazil,BRA,2016,19713771.0
Brazil,BRA,2017,19833238.0
Brazil,BRA,2018,23832605.0
Brazil,BRA,2019,25490166.0
Brazil,BRA,2020,24511325.0
Brazil,BRA,2021,23318593.0
Colombia,COL,1990,0.0
Colombia,COL,1991,0.0
Colombia,COL,1992,0.0
Colombia,COL,1993,0.0
Colombia,COL,1994,0.0
Colombia,COL,1995,0.0
Colombia,COL,1996,0.0
Colombia,COL,1997,0.0
Colombia,COL,1998,0.0
Colombia,COL,1999,0.0
Colombia,COL,2000,0.0
Colombia,COL,2001,0.0
Colombia,COL,2002,0.0
Colombia,COL,2003,0.0
Colombia,COL,2004,0.0
Colombia,COL,2005,0.17154181
Colombia,COL,2006,15707597.0
Colombia,COL,2007,16889794.0
Colombia,COL,2008,17494818.0
Colombia,COL,2009,36427.0
Colombia,COL,2010,52514305.0
Colombia,COL,2011,6638568.0
Colombia,COL,2012,7279806.0
Colombia,COL,2013,75372925.0
Colombia,COL,2014,78369017.0
Colombia,COL,2015,8024199.0
Colombia,COL,2016,78060017.0
Colombia,COL,2017,7153719.0
Colombia,COL,2018,893695.0
Colombia,COL,2019,79765263.0
Colombia,COL,2020,74975457.0
Colombia,COL,2021,800661.0
Mexico,MEX,1990,0.0
Mexico,MEX,1991,0.0
Mexico,MEX,1992,0.0
Mexico,MEX,1993,0.0
Mexico,MEX,1994,0.0
Mexico,MEX,1995,0.0
Mexico,MEX,1996,0.0
Mexico,MEX,1997,0.0
Mexico,MEX,1998,0.0
Mexico,MEX,1999,0.0
Mexico,MEX,2000,0.0
Mexico,MEX,2001,0.0
Mexico,MEX,2002,0.0
Mexico,MEX,2003,0.0
Mexico,MEX,2004,0.0
Mexico,MEX,2005,0.0
Mexico,MEX,2006,0.0
Mexico,MEX,2007,0.0
Mexico,MEX,2008,0.0
Mexico,MEX,2009,0.0
Mexico,MEX,2010,0.0
Mexico,MEX,2011,0.0
Mexico,MEX,2012,0.0
Mexico,MEX,2013,0.0
Mexico,MEX,2014,0.0
Mexico,MEX,2015,0.0
Mexico,MEX,2016,0.0
Mexico,MEX,2017,0.0
Mexico,MEX,2018,0.0
Mexico,MEX,2019,0.0
Mexico,MEX,2020,0.0
Mexico,MEX,2021,0.0
