Entity,Code,Year,Solar Capacity
Argentina,ARG,1996,0.0
Argentina,ARG,1997,0.0
Argentina,ARG,1998,0.0
Argentina,ARG,1999,0.0
Argentina,ARG,2000,2.5e-05
Argentina,ARG,2001,2.6e-05
Argentina,ARG,2002,2.6e-05
Argentina,ARG,2003,2.6e-05
Argentina,ARG,2004,2.6e-05
Argentina,ARG,2005,2.6e-05
Argentina,ARG,2006,2.6e-05
Argentina,ARG,2007,2.6e-05
Argentina,ARG,2008,2.6e-05
Argentina,ARG,2009,2.6e-05
Argentina,ARG,2010,2.6e-05
Argentina,ARG,2011,0.001252
Argentina,ARG,2012,0.006252
Argentina,ARG,2013,0.008257
Argentina,ARG,2014,0.008252
Argentina,ARG,2015,0.008618
Argentina,ARG,2016,0.008806
Argentina,ARG,2017,0.008806
Argentina,ARG,2018,0.191236
Argentina,ARG,2019,0.442111
Argentina,ARG,2020,0.764135
Argentina,ARG,2021,1071366.0
Brazil,BRA,1996,0.0
Brazil,BRA,1997,0.0
Brazil,BRA,1998,0.0
Brazil,BRA,1999,0.0
Brazil,BRA,2000,0.0
Brazil,BRA,2001,3.6e-05
Brazil,BRA,2002,3.6e-05
Brazil,BRA,2003,0.000716
Brazil,BRA,2004,0.000718
Brazil,BRA,2005,0.000718
Brazil,BRA,2006,0.000718
Brazil,BRA,2007,0.000718
Brazil,BRA,2008,0.000764
Brazil,BRA,2009,0.0008139999999999
Brazil,BRA,2010,0.000854
Brazil,BRA,2011,0.006097
Brazil,BRA,2012,0.006608
Brazil,BRA,2013,0.012528
Brazil,BRA,2014,0.020697
Brazil,BRA,2015,0.045567
Brazil,BRA,2016,0.127789
Brazil,BRA,2017,1206787.0
Brazil,BRA,2018,2435022.0
Brazil,BRA,2019,4613191.0
Brazil,BRA,2020,7879157.0
Brazil,BRA,2021,13054926.0
Chile,CHL,1996,0.0
Chile,CHL,1997,0.0
Chile,CHL,1998,0.0
Chile,CHL,1999,0.0
Chile,CHL,2000,0.0
Chile,CHL,2001,0.0
Chile,CHL,2002,0.0
Chile,CHL,2003,0.0
Chile,CHL,2004,0.0
Chile,CHL,2005,0.0
Chile,CHL,2006,0.0
Chile,CHL,2007,0.0
Chile,CHL,2008,0.0
Chile,CHL,2009,0.0
Chile,CHL,2010,0.0
Chile,CHL,2011,0.0
Chile,CHL,2012,0.002
Chile,CHL,2013,0.015
Chile,CHL,2014,0.221
Chile,CHL,2015,0.5760000000000001
Chile,CHL,2016,1125.0
Chile,CHL,2017,1809.0
Chile,CHL,2018,2137.0
Chile,CHL,2019,2653698.0
Chile,CHL,2020,3205438.0
Chile,CHL,2021,4.36000699999999e+16
Honduras,HND,1996,0.0
Honduras,HND,1997,0.0
Honduras,HND,1998,0.0
Honduras,HND,1999,0.001
Honduras,HND,2000,0.001599
Honduras,HND,2001,0.001804
Honduras,HND,2002,0.001975
Honduras,HND,2003,0.002128
Honduras,HND,2004,0.002376
Honduras,HND,2005,0.002668
Honduras,HND,2006,0.002872
Honduras,HND,2007,0.003228
Honduras,HND,2008,0.003228
Honduras,HND,2009,0.003512
Honduras,HND,2010,0.003728
Honduras,HND,2011,0.004479
Honduras,HND,2012,0.005156
Honduras,HND,2013,0.005156
Honduras,HND,2014,0.005156
Honduras,HND,2015,0.393156
Honduras,HND,2016,0.414156
Honduras,HND,2017,0.453786
Honduras,HND,2018,0.5136860000000001
Honduras,HND,2019,0.514
Honduras,HND,2020,0.514
Honduras,HND,2021,0.514
Mexico,MEX,1996,0.01
Mexico,MEX,1997,0.011
Mexico,MEX,1998,0.012
Mexico,MEX,1999,0.013
Mexico,MEX,2000,0.014
Mexico,MEX,2001,0.015
Mexico,MEX,2002,0.016
Mexico,MEX,2003,0.016
Mexico,MEX,2004,0.016
Mexico,MEX,2005,0.016
Mexico,MEX,2006,0.016
Mexico,MEX,2007,0.019
Mexico,MEX,2008,0.019
Mexico,MEX,2009,0.0251
Mexico,MEX,2010,0.0298
Mexico,MEX,2011,0.0424
Mexico,MEX,2012,0.0728
Mexico,MEX,2013,0.109
Mexico,MEX,2014,0.174
Mexico,MEX,2015,0.287
Mexico,MEX,2016,0.6326
Mexico,MEX,2017,112574.0
Mexico,MEX,2018,2541.0
Mexico,MEX,2019,4426208.0
Mexico,MEX,2020,5149.0
Mexico,MEX,2021,7026.0
